Dome of the Rock	01 Dome of the Rock
La Pedrera	02 La Pedrera
One World Trade Center	03 One World Trade Center
St Paul's Cathedral	04 St Paul's Cathedral
Petronas Towers	05 Petronas Towers
The White House	06 The White House
Leaning Tower of Pisa	07 Leaning Tower of Pisa
The Kaaba	08 The Kaaba
The Shard	09 The Shard
St Basil's Cathedral	10 St Basil's Cathedral
Colosseum	11 Colosseum
Taj Mahal	12 Taj Mahal
Sydney Opera House	13 Sydney Opera House
Space Needle	14 Space Needle
Pantheon	15 Pantheon
Turning Torso	16 Turning Torso
